"","SOS-1","SOS-10","SOS-11","SOS-12","SOS-13","SOS-14","SOS-15","SOS-16","SOS-17","SOS-18","SOS-19","SOS-2","SOS-20","SOS-21","SOS-22","SOS-23","SOS-24","SOS-25","SOS-26","SOS-27","SOS-28","SOS-29","SOS-3","SOS-30","SOS-31","SOS-32","SOS-33","SOS-35","SOS-37","SOS-38","SOS-39","SOS-4","SOS-44","SOS-46","SOS-47","SOS-48","SOS-49","SOS-5","SOS-50","SOS-51","SOS-52","SOS-53","SOS-55","SOS-56","SOS-6","SOS-7","SOS-8","SOS-9"
"OTU67"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 8"," 0"," 0"," 0"," 0","50","21"," 0"," 8"," 0"," 0"," 3"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","91","31"," 0"," 0"," 0"," 0","30","10","22"," 9"," 0","20"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU68","  0","  0","  0","  0","  0","  0","  0","  0","  0","  9"," 53","  0","  0"," 10","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","255","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU69"," 0"," 0"," 0"," 0"," 9","15","32","14","31"," 0"," 0"," 0","20","50"," 0","18"," 0"," 9","33"," 0"," 0","14"," 7","32"," 0"," 0"," 0"," 6","37","42","28"," 0","81","16","43","84"," 8"," 0","12","28"," 0","80"," 0"," 0"," 7"," 0","42"," 0"
"OTU70"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"
"OTU71"," 0"," 0"," 0"," 0","38"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","11"," 0","10"," 0"," 0"," 0"," 0"," 0"," 7"," 0","18"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0","19"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"
"OTU72","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","11790","    0","    0","    0","    0","    0"," 1201","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"OTU73","   0","   0","   0","   0","   0","   0","   0"," 314","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1289","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 269"
"OTU74","  0","  3","  0","  0"," 18","  0","  0","  0","  0","  0","  4","  0","  0"," 11","  0"," 12","  0","  0","  0","  0"," 17","  0","  0","  0"," 16","137","  0","  0","  0","  0","  0","  0","  0"," 54","  0","  0","  0","  0","  0"," 82","  0","  0","  0","  0","  0","  0","  0","  0"
"OTU75","   0","   0","   0","   0","   0","   0","   0","   0","  38","6201","   0","   0","   0","  23","  39","   0","   0","   0","   0","   0","  83","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 328","   0","   0"," 772","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"OTU76","  0","  0","  0","  0"," 19"," 12"," 17"," 16"," 27"," 31"," 45","  0"," 17"," 33","383","146","136","  6"," 35","  0","  0","  0","  0","  0","  8","  9"," 56"," 19","314"," 16"," 26","  0"," 23"," 21"," 58","  7"," 14","  0"," 39"," 35","111"," 24","  0","  0","  0","  0","  0","  0"
